ISO639-2,Dataverse-language
aar,Afar
abk,Abkhaz
afr,Afrikaans
aka,Akan
amh,Amharic
ara,Arabic
arg,Aragonese
asm,Assamese
ava,Avaric
ave,Avestan
aym,Aymara
aze,Azerbaijani
bak,Bashkir
bam,Bambara
bel,Belarusian
ben,"Bengali, Bangla"
bih,Bihari
bis,Bislama
bod,"Tibetan, Tibetan Standard, Central"
bos,Bosnian
bre,Breton
bul,Bulgarian
cat,"Catalan, Valencian"
ces,Czech
cha,Chamorro
che,Chechen
chu,Old Church Slavonic
chv,Chuvash
cor,Cornish
cos,Corsican
cre,Cree
cym,Welsh
dan,Danish
div,"Maldivian, Dhivehi, Divehi"
dzo,Dzongkha
ell,Greek (modern)
eng,English
epo,Esperanto
est,Estonian
eus,Basque
ewe,Ewe
fao,Faroese
fas,Persian (Farsi)
fij,Fijian
fin,Finnish
fra,French
fry,Western Frisian
ful,"Fula, Fulah"
deu,German
gla,"Gaelic, Scottish Gaelic"
gle,Irish
glg,Galician
glv,Manx
grn,Guaraní
guj,Gujarati
hat,"Haitian Creole, Haitian"
hau,Hausa
heb,Hebrew (modern)
her,Herero
hin,Hindi
hmo,Hiri Motu
hrv,Croatian
hun,Hungarian
hye,Armenian
ibo,Igbo
ido,Ido
iii,Nuosu
iku,Inuktitut
ile,Interlingue
ina,Interlingua
ind,Indonesian
ipk,Inupiaq
isl,Icelandic
ita,Italian
jav,Javanese
jpn,Japanese
kal,"Greenlandic, Kalaallisut"
kan,Kannada
kas,Kashmiri
kat,Georgian
kau,Kanuri
kaz,Kazakh
khm,Khmer
kik,"Kikuyu, Gikuyu"
kin,Kinyarwanda
kir,Kirghiz
kom,Komi
kon,Kongo
kor,Korean
kua,"Kuanyama, Kwanyama"
kur,Kurdish
lao,Lao
lat,Latin
lav,Latvian
lim,"Limburgan, Limburger, Limburgish"
lin,Lingala
lit,Lithuanian
ltz,"Luxembourgish, Letzeburgesch"
lub,Luba-Katanga
lug,Ganda
mah,Marshallese
mal,Malayalam
mar,Marathi (Marāṭhī)
mkd,Macedonian
mlg,Malagasy
mlt,Maltese
mon,Mongolian
mri,Māori
msa,Malay
mya,Burmese
nau,Nauru
nav,"Navajo, Navaho"
nbl,Southern Ndebele
nde,Northern Ndebele
ndo,Ndonga
nep,Nepali
nld,Dutch
nno,Norwegian Nynorsk
nob,Norwegian Bokmål
nor,Norwegian
nya,"Chichewa, Chewa, Nyanja"
oci,Occitan
oji,"Ojibwe, Ojibwa"
ori,Oriya
orm,Oromo
oss,"Ossetian, Ossetic"
pan,"Panjabi, Punjabi"
pli,Pāli
pol,Polish
por,Portuguese
pus,"Pashto, Pushto"
que,Quechua
ron,Romanian
run,Kirundi
rus,Russian
sag,Sango
san,Sanskrit (Saṁskṛta)
sin,"Sinhala, Sinhalese"
slk,Slovak
slv,Slovenian
sme,Northern Sami
smo,Samoan
sna,Shona
snd,Sindhi
som,Somali
sot,Southern Sotho
spa,"Spanish, Castilian"
sqi,Albanian
srd,Sardinian
srp,Serbian
ssw,Swati
sun,Sundanese
swa,Swahili
swe,Swedish
tah,Tahitian
tam,Tamil
tat,Tatar
tel,Telugu
tgk,Tajik
tgl,Tagalog
tha,Thai
tir,Tigrinya
ton,Tonga (Tonga Islands)
tsn,Tswana
tso,Tsonga
tuk,Turkmen
tur,Turkish
twi,Twi
uig,"Uighur, Uyghur"
ukr,Ukrainian
urd,Urdu
uzb,Uzbek
ven,Venda
vie,Vietnamese
vol,Volapük
wln,Walloon
wol,Wolof
xho,Xhosa
yid,Yiddish
yor,Yoruba
zha,"Zhuang, Chuang"
zho,Chinese
zul,Zulu
chi,Chinese
dut,Dutch
may,Malay
cze,Czech
ger,German
fre,French
gre,Greek (modern)
